ANNO,PAIS,FEMENINO,MASCULINO,TOTAL
2018,Belice,104,88,192
2018,Panama,100,98,198
2018,Republica de Irlanda,117,93,210
2018,Polonia,78,135,213
2018,Espana,122,91,213
2018,Mexico,115,101,216
2018,Singapur,100,125,225
2018,Libano,116,119,235
2018,Republica de Corea,116,122,238
2018,Egipto,123,140,263
2018,Malta,171,103,274
2018,Arabia Saudita,47,232,279
2018,Tailandia,169,131,300
2018,Grecia,177,140,317
2018,Dinamarca,190,175,365
2018,Noruega,233,143,376
2018,Hong Kong,157,241,398
2018,Federacion de Rusia,143,281,424
2018,India,221,223,444
2018,Trinidad y Tobago,177,285,462
2018,Nueva Zelanda,297,224,521
2018,Bahamas,278,326,604
2018,Austria,326,293,619
2018,Estados Unidos de America,356,296,652
2018,Francia,11,826,837
2018,Japón,687,636,1323
2018,Nicaragua,429,976,1405
2018,Suecia,818,664,1482
2018,Israel,906,615,1521
2018,Belgica,910,647,1557
2018,Cuba,887,822,1709
2018,Alemania,962,852,1814
2018,Portugal,880,1001,1881
2018,Emiratos Árabes,671,1541,2212
2018,Honduras,870,1582,2452
2018,Jamaica,1470,1188,2658
2018,Paraguay,914,1953,2867
2018,Paises Bajos,8,2920,2928
2018,Curazao,1795,1584,3379
2018,El Salvador,3512,6,3518
2018,China,1365,2277,3642
2018,Suiza,2357,1466,3823
2018,Australia,1951,2333,4284
2018,Uruguay,2045,2411,4456
2018,Turquía,2014,2698,4712
2018,Italia,2646,3865,6511
2018,Puerto Rico/Territorio de Estados Unidos,3579,3122,6701
2018,Bolivia,2630,4317,6947
2018,Guatemala,4511,3585,8096
